hospital,ccn,cbsa,participation,start_date,end_date
ST ROSE HOSPITAL,050002,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
PROVIDENCE ST JOSEPH HOSPITAL,050006,Eureka–Arcata,Mandatory,01/01/2026,12/31/2030
MILLS-PENINSULA MEDICAL CENTER,050007,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,050008,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
RIVERSIDE COMMUNITY HOSPITAL,050022,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
PARADISE VALLEY HOSPITAL,050024,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,050025,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
GROSSMONT HOSPITAL,050026,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
MAD RIVER COMMUNITY HOSPITAL,050028,Eureka–Arcata,Mandatory,01/01/2026,12/31/2030
BAKERSFIELD MEMORIAL HOSPITAL,050036,Bakersfield–Delano,Mandatory,01/01/2026,12/31/2030
SANTA CLARA VALLEY MEDICAL CENTER,050038,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
ALTA BATES SUMMIT MEDICAL CENTER,050043,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,050047,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SAN GORGONIO MEMORIAL HOSPITAL,050054,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,050055,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,050070,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL-SANTA CLARA,050071,San Jose–Sunnyvale–Santa Clara,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - WALNUT CREEK,050072,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,050075,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,050076,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SCRIPPS MERCY HOSPITAL,050077,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
COMMUNITY HOSPITAL OF SAN BERNARDINO,050089,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
SONOMA VALLEY HOSPITAL,050090,Santa Rosa–Petaluma,Mandatory,01/01/2026,12/31/2030
SAN ANTONIO REGIONAL HOSPITAL,050099,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
SHARP MEMORIAL HOSPITAL,050100,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
"DOCTORS HOSPITAL OF RIVERSIDE, LLC",050102,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
SAN MATEO MEDICAL CENTER,050113,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
PALOMAR HEALTH DOWNTOWN CAMPUS,050115,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
ADVENTIST HEALTH HANFORD,050121,Hanford–Corcoran,Mandatory,01/01/2026,12/31/2030
TRI-CITY MEDICAL CENTER,050128,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
ST BERNARDINE MEDICAL CENTER,050129,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
NOVATO COMMUNITY HOSPITAL,050131,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
PETALUMA VALLEY HOSPITAL,050136,Santa Rosa–Petaluma,Mandatory,01/01/2026,12/31/2030
KAISER FOUNDATION HOSPITAL FONTANA,050140,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
UCSF HEALTH SAINT FRANCIS HOSPITAL,050152,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
PROVIDENCE SANTA ROSA MEMORIAL HOSPITAL,050174,Santa Rosa–Petaluma,Mandatory,01/01/2026,12/31/2030
JOHN MUIR MEDICAL CENTER - WALNUT CREEK CAMPUS,050180,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
WASHINGTON HOSPITAL,050195,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SEQUOIA HOSPITAL,050197,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
ALAMEDA HOSPITAL,050211,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
SHARP CHULA VISTA MEDICAL CENTER,050222,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
ZUCKERBERG SAN FRANCISCO GENERAL HOSP & TRAUMA CTR,050228,San Francisco–Oakland–Fremont,Mandatory,01/01/2026,12/31/2030
FRENCH HOSPITAL MEDICAL CENTER,050232,San Luis Obispo–Paso Robles,Mandatory,01/01/2026,12/31/2030
SHARP CORONADO HOSPITAL AND HLTHCR CTR,050234,San Diego–Chula Vista–Carlsbad,Mandatory,01/01/2026,12/31/2030
DESERT REGIONAL MEDICAL CENTER,050243,Riverside–San Bernardino–Ontario,Mandatory,01/01/2026,12/31/2030
