rank_by_payment,msa_code,msa_name,wage_adjusted_episode_payment_usd,reconstructed_status_2018plus
1,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",33072,Mandatory
2,13140,"Beaumont-Port Arthur, TX",32544,Mandatory
3,45300,"Tampa-St. Petersburg-Clearwater, FL",32424,Mandatory
4,46220,"Tuscaloosa, AL",31789,Mandatory
5,35620,"New York-Newark-Jersey City, NY-NJ-PA",31076,Mandatory
6,46340,"Tyler, TX",30955,Mandatory
7,38300,"Pittsburgh, PA",30886,Mandatory
8,33860,"Montgomery, AL",30817,Mandatory
9,20020,"Dothan, AL",30710,Mandatory
10,18580,"Corpus Christi, TX",30700,Mandatory
11,33740,"Monroe, LA",30431,Mandatory
12,38940,"Port St. Lucie, FL",30423,Mandatory
13,26300,"Hot Springs, AR",29621,Mandatory
14,35380,"New Orleans-Metairie, LA",29562,Mandatory
15,31180,"Lubbock, TX",29524,Mandatory
16,37860,"Pensacola-Ferry Pass-Brent, FL",29485,Mandatory
17,23540,"Gainesville, FL",29370,Mandatory
18,36740,"Orlando-Kissimmee-Sanford, FL",29259,Mandatory
19,12420,"Austin-Round Rock, TX",28960,Mandatory
20,32820,"Memphis, TN-MS-AR",28916,Mandatory
21,39340,"Provo-Orem, UT",28852,Mandatory
22,39740,"Reading, PA",28679,Mandatory
23,45780,"Toledo, OH",28658,Mandatory
24,25420,"Harrisburg-Carlisle, PA",28360,Mandatory
25,31080,"Los Angeles-Long Beach-Anaheim, CA",28219,Mandatory
26,10420,"Akron, OH",28081,Mandatory
27,17140,"Cincinnati, OH-KY-IN",28074,Mandatory
28,42680,"Sebastian-Vero Beach, FL",28015,Mandatory
29,22500,"Florence, SC",27901,Mandatory
30,11700,"Asheville, NC",27617,Mandatory
31,35300,"New Haven-Milford, CT",27529,Mandatory
32,24780,"Greenville, NC",27446,Mandatory
33,28660,"Killeen-Temple, TX",27355,Mandatory
34,36420,"Oklahoma City, OK",27267,Mandatory
35,28140,"Kansas City, MO-KS",27261,Voluntary
36,30700,"Lincoln, NE",27173,Voluntary
37,34940,"Naples-Immokalee-Marco Island, FL",27120,Voluntary
38,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",26880,Voluntary
39,16740,"Charlotte-Concord-Gastonia, NC-SC",26736,Voluntary
40,41180,"St. Louis, MO-IL",26425,Voluntary
41,16180,"Carson City, NV",26128,Voluntary
42,19740,"Denver-Aurora-Lakewood, CO",26119,Voluntary
43,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",26037,Voluntary
44,48620,"Wichita, KS",25945,Voluntary
45,10740,"Albuquerque, NM",25892,Voluntary
46,26900,"Indianapolis-Carmel-Anderson, IN",25841,Voluntary
47,35980,"Norwich-New London, CT",25780,Voluntary
48,33340,"Milwaukee-Waukesha-West Allis, WI",25698,Voluntary
49,17860,"Columbia, MO",25558,Voluntary
50,44420,"Staunton-Waynesboro, VA",25539,Voluntary
51,40980,"Saginaw, MI",25488,Voluntary
52,36260,"Ogden-Clearfield, UT",25472,Voluntary
53,12020,"Athens-Clarke County, GA",25394,Voluntary
54,20500,"Durham-Chapel Hill, NC",25151,Voluntary
55,19500,"Decatur, IL",24846,Voluntary
56,33700,"Modesto, CA",24819,Voluntary
57,22420,"Flint, MI",24807,Voluntary
58,16020,"Cape Girardeau, MO-IL",24564,Voluntary
59,31540,"Madison, WI",24442,Voluntary
60,45820,"Topeka, KS",24273,Voluntary
61,14500,"Boulder, CO",24115,Voluntary
62,41860,"San Francisco-Oakland-Hayward, CA",23716,Voluntary
63,42660,"Seattle-Tacoma-Bellevue, WA",23669,Voluntary
64,43780,"South Bend-Mishawaka, IN-MI",23143,Voluntary
65,23580,"Gainesville, GA",23009,Voluntary
66,38900,"Portland-Vancouver-Hillsboro, OR-WA",22604,Voluntary
67,13900,"Bismarck, ND",22479,Voluntary
