msa_code,msa_name,cjr_reconstructed_status_2018plus,selected_into_team,team_hospital_count_in_cbsa
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Mandatory,Yes,1
13140,"Beaumont-Port Arthur, TX",Mandatory,No,0
45300,"Tampa-St. Petersburg-Clearwater, FL",Mandatory,Yes,1
46220,"Tuscaloosa, AL",Mandatory,No,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",Mandatory,Yes,109
46340,"Tyler, TX",Mandatory,No,0
38300,"Pittsburgh, PA",Mandatory,Yes,1
33860,"Montgomery, AL",Mandatory,No,0
20020,"Dothan, AL",Mandatory,No,0
18580,"Corpus Christi, TX",Mandatory,No,0
33740,"Monroe, LA",Mandatory,Yes,6
38940,"Port St. Lucie, FL",Mandatory,No,0
26300,"Hot Springs, AR",Mandatory,Yes,2
35380,"New Orleans-Metairie, LA",Mandatory,No,0
31180,"Lubbock, TX",Mandatory,No,0
37860,"Pensacola-Ferry Pass-Brent, FL",Mandatory,No,0
23540,"Gainesville, FL",Mandatory,No,0
36740,"Orlando-Kissimmee-Sanford, FL",Mandatory,No,0
12420,"Austin-Round Rock, TX",Mandatory,No,0
32820,"Memphis, TN-MS-AR",Mandatory,Yes,11
39340,"Provo-Orem, UT",Mandatory,No,0
39740,"Reading, PA",Mandatory,Yes,3
45780,"Toledo, OH",Mandatory,No,0
25420,"Harrisburg-Carlisle, PA",Mandatory,Yes,5
31080,"Los Angeles-Long Beach-Anaheim, CA",Mandatory,Yes,1
10420,"Akron, OH",Mandatory,No,0
17140,"Cincinnati, OH-KY-IN",Mandatory,No,0
42680,"Sebastian-Vero Beach, FL",Mandatory,No,0
22500,"Florence, SC",Mandatory,Yes,3
11700,"Asheville, NC",Mandatory,No,0
35300,"New Haven-Milford, CT",Mandatory,Yes,3
24780,"Greenville, NC",Mandatory,No,0
28660,"Killeen-Temple, TX",Mandatory,No,0
36420,"Oklahoma City, OK",Mandatory,No,0
28140,"Kansas City, MO-KS",Voluntary,No,0
30700,"Lincoln, NE",Voluntary,No,0
34940,"Naples-Immokalee-Marco Island, FL",Voluntary,No,0
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Voluntary,Yes,19
16740,"Charlotte-Concord-Gastonia, NC-SC",Voluntary,No,0
41180,"St. Louis, MO-IL",Voluntary,No,0
16180,"Carson City, NV",Voluntary,No,0
19740,"Denver-Aurora-Lakewood, CO",Voluntary,Yes,21
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Voluntary,Yes,8
48620,"Wichita, KS",Voluntary,No,0
10740,"Albuquerque, NM",Voluntary,Yes,5
26900,"Indianapolis-Carmel-Anderson, IN",Voluntary,No,0
35980,"Norwich-New London, CT",Voluntary,No,0
33340,"Milwaukee-Waukesha-West Allis, WI",Voluntary,No,0
17860,"Columbia, MO",Voluntary,Yes,2
44420,"Staunton-Waynesboro, VA",Voluntary,No,0
40980,"Saginaw, MI",Voluntary,No,0
36260,"Ogden-Clearfield, UT",Voluntary,No,0
12020,"Athens-Clarke County, GA",Voluntary,No,0
20500,"Durham-Chapel Hill, NC",Voluntary,No,0
19500,"Decatur, IL",Voluntary,No,0
33700,"Modesto, CA",Voluntary,No,0
22420,"Flint, MI",Voluntary,No,0
16020,"Cape Girardeau, MO-IL",Voluntary,No,0
31540,"Madison, WI",Voluntary,No,0
45820,"Topeka, KS",Voluntary,No,0
14500,"Boulder, CO",Voluntary,No,0
41860,"San Francisco-Oakland-Hayward, CA",Voluntary,Yes,37
42660,"Seattle-Tacoma-Bellevue, WA",Voluntary,No,0
43780,"South Bend-Mishawaka, IN-MI",Voluntary,No,0
23580,"Gainesville, GA",Voluntary,No,0
38900,"Portland-Vancouver-Hillsboro, OR-WA",Voluntary,Yes,17
13900,"Bismarck, ND",Voluntary,No,0
