ccn,facility_name,city,hospital_type,ownership,on_ca_team_roster
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,SOUTH SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,SANTA CLARA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,WALNUT CREEK,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,VALLEJO,Acute Care Hospitals,Voluntary non-profit - Private,No
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,OAKLAND,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,SAN FRANCISCO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,PANORAMA CITY,Acute Care Hospitals,Voluntary non-profit - Private,No
050138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Other,No
050139,KAISER FOUNDATION HOSPITAL - DOWNEY,DOWNEY,Acute Care Hospitals,Voluntary non-profit - Other,No
050140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,FONTANA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050411,KAISER FOUNDATION HOSPITAL - SOUTH BAY,HARBOR CITY,Acute Care Hospitals,Voluntary non-profit - Other,No
050425,KAISER FOUNDATION HOSPITAL - SACRAMENTO,SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Private,No
050510,KAISER FOUNDATION HOSPITAL,SAN RAFAEL,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050512,KAISER FOUNDATION HOSPITAL - FREMONT,FREMONT,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050515,KAISER FOUNDATION HOSPITAL - SAN DIEGO,SAN DIEGO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050541,KAISER FOUNDATION HOSPITAL - REDWOOD CITY,REDWOOD CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050561,KAISER FOUNDATION HOSPITAL - WEST LA,LOS ANGELES,Acute Care Hospitals,Voluntary non-profit - Private,No
050604,KAISER FOUNDATION HOSPITAL-SAN JOSE,SAN JOSE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050609,KAISER FOUNDATION HOSPITAL - ORANGE COUNTY - ANAHEIM,ANAHEIM,Acute Care Hospitals,Voluntary non-profit - Private,No
050674,KAISER FOUNDATION HOSP SO SACRAMENTO,SACRAMENTO,Acute Care Hospitals,Voluntary non-profit - Private,No
050677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,WOODLAND HILLS,Acute Care Hospitals,Voluntary non-profit - Private,No
050686,"KAISER FOUNDATION HOSPITAL, RIVERSIDE",RIVERSIDE,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050690,KAISER FOUNDATION HOSPITAL-SANTA ROSA,SANTA ROSA,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050710,KAISER FOUNDATION HOSPITAL - FRESNO,FRESNO,Acute Care Hospitals,Voluntary non-profit - Private,No
050723,KAISER FOUNDATION HOSPITAL - BALDWIN PARK,BALDWIN PARK,Acute Care Hospitals,Voluntary non-profit - Other,No
050748,KAISER FOUNDATION HOSPITAL MANTECA,MANTECA,Acute Care Hospitals,Voluntary non-profit - Private,No
050760,KAISER FOUNDATION HOSPITAL - ANTIOCH,ANTIOCH,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050765,KAISER FOUNDATION HOSPITAL-MORENO VALLEY,MORENO VALLEY,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050767,KAISER FOUNDATION HOSPITAL - VACAVILLE,VACAVILLE,Acute Care Hospitals,Voluntary non-profit - Private,No
050772,KAISER FOUNDATION HOSPITAL - ROSEVILLE,ROSEVILLE,Acute Care Hospitals,Voluntary non-profit - Private,No
050777,KAISER FOUNDATION HOSPITAL - SAN LEANDRO,SAN LEANDRO,Acute Care Hospitals,Voluntary non-profit - Private,Yes
050855,KAISER FOUNDATION HOSPITAL - SAN MARCOS,SAN MARCOS,Acute Care Hospitals,Voluntary non-profit - Private,Yes
054150,KAISER PERMANENTE PSYCHIATRIC HEALTH FACILITY-SANT,SANTA CLARA,Psychiatric,Proprietary,No
