ccn,hospital,state,cbsa,start_date
050625,CEDARS-SINAI MEDICAL CENTER,CA,"Los Angeles-Long Beach-Anaheim, CA",01/01/2026
100127,MORTON PLANT HOSPITAL,FL,"Tampa-St. Petersburg-Clearwater, FL",01/01/2026
100284,KERALTY HOSPITAL,FL,"Miami-Fort Lauderdale-West Palm Beach, FL",01/01/2026
190045,ST TAMMANY PARISH HOSPITAL,LA,"Slidell-Mandeville-Covington, LA",01/01/2026
220163,UMASS MEMORIAL MEDICAL CENTER INC,MA,"Worcester, MA",01/01/2026
270057,BOZEMAN HEALTH DEACONESS REGIONAL MEDICAL CENTER,MT,"Bozeman, MT",01/01/2026
390041,UNIONTOWN HOSPITAL,PA,"Pittsburgh, PA",01/01/2026
420071,SELF REGIONAL HEALTHCARE,SC,"Greenwood, SC",01/01/2026
500077,PROVIDENCE HOLY FAMILY HOSPITAL,WA,"Spokane-Spokane Valley, WA",01/01/2026
520160,THEDACARE REGIONAL MEDICAL CENTER - APPLETON INC,WI,"Appleton, WI",01/01/2026
