CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date
013025,ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,3800 RIDGEWAY DRIVE,-,BIRMINGHAM,AL,35209,Jefferson,(205) 868-2000,4,For profit,10/01/1983
013028,ENCOMPASS REHABILITATION HOSPITAL OF MONTGOMERY,4465 NARROW LANE RD,-,MONTGOMERY,AL,36116,Montgomery,(334) 284-7821,4,For profit,05/11/1987
013029,ENCOMPASS HEALTH REHABILITATION HOSPITAL NORTH AL,1490 HIGHWAY 72 E,-,HUNTSVILLE,AL,35811,Madison,(205) 535-2300,4,For profit,06/04/1987
013030,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF DOTHAN,1736 EAST MAIN STREET,-,DOTHAN,AL,36301,Houston,(334) 712-6333,4,For profit,05/12/1994
013031,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF SHELBY,900 OAK MOUNTAIN COMMONS LANE,-,PELHAM,AL,35124,Shelby,(205) 216-7621,4,For profit,05/25/2018
013032,ENCOMPASS HEALTH REHABILITATION HOSPITAL GADSDEN,801 GOODYEAR AVE,-,GADSDEN,AL,35903,Etowah,(256) 439-5000,4,For profit,08/14/2001
013033,REHABILITATION HOSPITAL OF PHENIX CITY,3715 US HIGHWAY 431 NORTH,-,PHENIX CITY,AL,36867,Russell,(334) 732-2200,4,For profit,11/12/2003
01T011,ST. VINCENTS EAST REHABILITATION CENTER,50 MEDICAL PARK EAST DRIVE,-,BIRMINGHAM,AL,35235,Jefferson,(205) 838-3672,4,Non-profit,04/30/1998
01T029,EAMC- LANIER,2000 PEPPERELL PARKWAY.,-,OPELIKA,AL,36801,Lee,(502) 596-6346,4,Government,10/01/2016
01T033,SPAIN REHABILITATION CENTER,SRC 223E,-,BIRMINGHAM,AL,35249,Jefferson,(205) 934-4940,4,Government,10/01/1997
01T092,DCH REHABILITATION CENTER,"809 UNIVERSITY BLVD, EAST",-,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 333-4362,4,Government,05/01/2011
01T100,THOMAS HOSPITAL,750 MORPHY AVENUE,-,FAIRHOPE,AL,36533,Baldwin,(251) 435-3417,4,Non-profit,04/01/2018
01T104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,-,BIRMINGHAM,AL,35243,Jefferson,(205) 971-4520,4,For profit,06/15/1998
01T113,MOBILE INFIRMARY,POB 2144,-,MOBILE,AL,36652,Mobile,(251) 435-3400,4,Non-profit,07/01/2017
01T114,MEDICAL WEST HOSPITAL AUTHORITY REHAB UNIT,995 9TH AVENUE SOUTHWEST,-,BESSEMER,AL,35022,Jefferson,(205) 481-7287,4,Government,01/01/2017
01T139,AMI BROOKWOOD MEDICAL CENTER,2010 BROOKWOOD MEDICAL CTR. DR,-,HOMEWOOD,AL,35209,Jefferson,(205) 877-1600,4,For profit,12/17/2014
01T144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,-,MOBILE,AL,36608,Mobile,(502) 596-6346,4,For profit,01/01/2016
01T157,JW SOMMER REHABILITATION UNIT,201 AVALON AVE,-,MUSCLE SHOALS,AL,35661,Colbert,(256) 386-1687,4,For profit,10/01/2011
02T017,ALASKA REGIONAL HOSPITAL,2801 DEBARR RD,-,ANCHORAGE,AK,99508,Anchorage,(907) 264-1503,10,For profit,01/01/1994
02TA01,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,-,ANCHORAGE,AK,99503,Anchorage,(907) 561-3333,10,Non-profit,01/01/2020
033025,ENCOMPASS HEALTH REHAB HOSPITAL OF SCOTTSDALE,9630 EAST SHEA BOULEVARD,-,SCOTTSDALE,AZ,85260,Maricopa,(480) 551-5400,9,For profit,01/19/1989
033028,ENCOMPASS HEALTH REHABILITATION INSTITUTE OF TUCSO,2650 NORTH WYATT DRIVE,-,TUCSON,AZ,85712,Pima,(520) 325-1300,9,For profit,07/03/1990
033029,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF NORTHW,1921 WEST HOSPITAL DRIVE,-,TUCSON,AZ,85704,Pima,(520) 742-2800,9,For profit,05/26/1992
033032,ENCOMPASS HEALTH VALLEY OF THE SUN REHAB HOSPITAL,13460 NORTH 67TH AVENUE,-,GLENDALE,AZ,85304,Maricopa,(623) 878-8800,9,For profit,08/26/1998
033034,"YUMA REHABILITATION HOSPITAL,AN AFFILIATION OF ENC",901 WEST 24TH STREET,-,YUMA,AZ,85364,Yuma,(928) 726-5000,9,For profit,04/22/2003
033036,MOUNTAIN VALLEY REGIONAL REHABILITATION HOSPITAL,3700 NORTH WINDSONG DRIVE,-,PRESCOTT VALLEY,AZ,86314,Yavapai,(928) 759-8800,9,Government,07/24/2006
033037,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF EAST V,5652 EAST BASELINE ROAD,-,MESA,AZ,85206,Maricopa,(480) 567-0350,9,For profit,10/26/2009
033038,"GLOBALREHAB - SCOTTSDALE, LLC",8850 EAST PIMA CENTER PARKWAY,-,SCOTTSDALE,AZ,85258,Maricopa,(717) 975-4503,9,For profit,05/09/2013
033039,PAM HEALTH REHABILITATION HOSPITAL OF SURPRISE,13060 WEST BELL ROAD,-,SURPRISE,AZ,85378,Maricopa,(623) 499-9100,9,For profit,03/03/2016
033040,DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1515 WEST CHANDLER BOULEVARD,-,CHANDLER,AZ,85224,Maricopa,(602) 594-5400,9,For profit,11/21/2016
033041,REHABILITATION HOSPITAL OF NORTHERN ARIZONA,1851 NORTH GEMINI DRIVE,-,FLAGSTAFF,AZ,86001,Coconino,(928) 774-7070,9,For profit,04/12/2018
033042,BANNER REHABILITATION HOSPITAL-WEST,12740 NORTH PLAZA DEL RIO BOULEVARD,-,PEORIA,AZ,85381,Maricopa,(717) 975-4503,9,For profit,09/25/2020
033043,REUNION REHABILITATION HOSPITAL PHOENIX LLC,1675 EAST VILLA STREET,-,PHOENIX,AZ,85006,Maricopa,(469) 640-6503,9,For profit,02/03/2022
033044,DIGNITY HEALTH EAST VALLEY REHABILITATION HOSPITAL,1850 S SAN TAN VILLAGE PARKWAY,-,GILBERT,AZ,85295,Maricopa,(623) 269-6000,9,For profit,01/06/2023
033045,REUNION REHABILITATION HOSPITAL PEORIA LLC,13451 N 94TH DRIVE,-,PEORIA,AZ,85381,Maricopa,(469) 640-6503,9,For profit,04/15/2023
033046,CLEARSKY REHABILITATION HOSPITAL OF AVONDALE,10903 W MCDOWELL RD,-,AVONDALE,AZ,85392,Maricopa,(623) 404-4417,9,For profit,08/04/2023
033047,EXALT HEALTH REHABILITATION HOSPITAL SCOTTSDALE,"20159 NORTH SCOTTSDALE ROAD, SECOND FLOOR",-,SCOTTSDALE,AZ,85255,Maricopa,(480) 992-8091,9,For profit,12/19/2024
03T010,CARONDELET ST. MARY'S HOSPITAL,1601 W. ST. MARY'S ROAD,-,TUCSON,AZ,85745,Pima,(520) 872-6244,9,Non-profit,07/01/1984
03T024,ST JOSEPHS HOSP,240 W THOMAS RD,-,PHOENIX,AZ,85013,Maricopa,(602) 406-4796,9,Non-profit,07/01/1985
03T038,SCOTTSDALE HEALTHCARE,7400 E OSBORN ROAD,-,SCOTTSDALE,AZ,85251,Maricopa,(480) 882-4000,9,For profit,10/01/1984
03T043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,-,SIERRA VISTA,AZ,85635,Cochise,(520) 263-2220,9,Non-profit,08/01/2024
03T055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL RD.,-,KINGMAN,AZ,86401,Mohave,(928) 263-4632,9,Government,07/01/2002
03T085,NORTHWEST MEDICAL CENTER/CHS,6200 N LA CHOLLA BLVD,-,TUCSON,AZ,85741,Pima,(520) 469-8366,9,For profit,10/01/2013
03T114,NORTHWEST TRANSITIONS,2025 W ORANGE GROVE ROAD,-,TUCSON,AZ,85704,Pima,(520) 403-2563,9,For profit,01/25/2005
03T117,VALLEY VIEW MEDICAL CENTER,5330 S HIGHWAY 95,-,FT MOHAVE,AZ,86426,Mohave,(928) 788-7005,9,For profit,06/28/2006
043026,BAPTIST HEALTH REHABILITATION INSTITUTE,9601 BAPTIST HEALTH DRIVE,-,LITTLE ROCK,AR,72205,Pulaski,(501) 202-7578,6,Non-profit,01/01/1984
043028,ENCOMPASS HEALTH REHABILITATION HOSPITAL FT SMITH,1401 SOUTH J STREET,-,FORT SMITH,AR,72901,Sebastian,(479) 785-3300,6,For profit,11/12/1986
043029,ENCOMPASS HEALTH REHABILITATION HOSPITAL,1201 FLEMING AVE,-,JONESBORO,AR,72401,Craighead,(870) 932-0440,6,For profit,12/05/1988
043031,CHI ST VINCENT SHERWOOD REHABILITATION HOSPITAL,2201 WILDWOOD AVENUE,-,SHERWOOD,AR,72120,Pulaski,(501) 834-1800,6,For profit,10/01/1990
043032,ENCOMPASS HEALTH REHAB HOSP A PARTNER OF WASH REG,153 E MONTE PAINTER DRIVE,-,FAYETTEVILLE,AR,72703,Washington,(479) 444-2200,6,For profit,08/06/1991
043033,CONWAY REGIONAL REHABILITATION HOSPITAL,2210 ROBINSON STREET,-,CONWAY,AR,72034,Faulkner,(501) 932-3500,6,For profit,12/17/2004
043034,SOUTHEAST REHABILITATION HOSPITAL,905 BORGOGNONI DRIVE,-,LAKE VILLAGE,AR,71653,CHICOT,(870) 265-4333,6,Physician,12/13/2006
043035,"CHI ST VINCENT HS REHAB HOSP, A PART OF ENCOMPASS",1636 HIGDON FERRY ROAD,-,HOT SPRINGS,AR,71913,Garland,(501) 651-2000,6,For profit,04/11/2016
043036,MERCY REHABILITATION HOSPITAL NORTHWEST AR,4313 SOUTH PLEASANT CROSSING BOULEVARD,-,ROGERS,AR,72758,Benton,(479) 341-4004,6,For profit,04/11/2020
043037,MERCY REHABILITATION HOSPITAL,6700 CHAD COLLEY BOULEVARD,-,FORT SMITH,AR,72916,Sebastian,(479) 974-5700,6,For profit,06/21/2021
043038,JEFFERSON REGIONAL SPECIALTY HOSPITAL,1500 WEST HOLLAND AVENUE,-,WHITE HALL,AR,71602,Jefferson,(870) 939-6500,6,For profit,06/26/2024
04R334,MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,-,MENA,AR,71953,Polk,(479) 394-6100,6,Non-profit,01/01/1999
04T002,JOHNSON REGIONAL REHABILITATION CENTER,1100 EAST POPLAR ST.,-,CLARKSVILLE,AR,72830,Johnson,(479) 754-5484,6,Non-profit,01/01/2006
04T014,UNITY HEALTH SPECIALTY CARE CAMPUS,1200 SOUTH MAIN STREET,-,SEARCY,AR,72143,White,(501) 278-3477,6,Non-profit,10/01/1995
04T022,NORTHWEST MEDICAL CENTER INPATIENT REHAB,609 W. MAPLE AVE.,"TOWER II, 3RD FLOOR",SPRINGDALE,AR,72764,Washington,(479) 757-2340,6,For profit,05/26/1998
04T027,BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,624 HOSPITAL DR,MOUNTAIN HOME,AR,72653,Baxter,(870) 508-3393,6,Non-profit,01/01/1998
04T036,BAPTIST HEALTH REHAB INSTITUTE - NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,-,NORTH LITTLE ROCK,AR,72117,Pulaski,(501) 202-7257,6,Non-profit,01/01/1997
04T039,ARKANSAS METHODIST HOSPITAL,900 WEST KINGS HIGHWAY,-,PARAGOULD,AR,72451,Greene,(502) 596-6346,6,Non-profit,07/01/1997
04T041,S. MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,-,RUSSELLVILLE,AR,72801,Pope,(502) 596-6346,6,For profit,08/26/1992
04T051,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,778 SCOGIN DRIVE,-,MONTICELLO,AR,71655,Drew,(870) 367-2411,6,Non-profit,12/03/2023
04T078,NATIONAL PARK MEDICAL CENTER,1910 MALVERN AVE.,-,HOT SPRINGS,AR,71901,Garland,(502) 596-6346,6,For profit,01/01/1994
04T084,SALINE MEMORIAL HOSPITAL,1 MEDICAL PARK DR.,-,BENTON,AR,72015,Saline,(502) 596-6346,6,For profit,08/01/1993
04T088,MEDICAL CENTER OF S ARKANSAS,700 WEST GROVE STREET,-,EL DORADO,AR,71730,Union,(870) 863-2664,6,For profit,07/01/2023
04T118,NEA BAPTIST MEMORIAL HOSPITAL,4800 E JOHNSON AVE,-,JONESBORO,AR,72401,Craighead,(870) 936-1030,6,Non-profit,10/01/2015
04T119,WHITE RIVER HEALTH SYSTEM,1710 HARRISON ST,-,BATESVILLE,AR,72501,Independence,(502) 596-6346,6,Non-profit,09/19/1997
04T154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,-,CONWAY,AR,72032,Faulkner,(501) 585-2000,6,Non-profit,01/01/2020
053031,ENCOMPASS HEALTH REHABILITATON HOSPITAL OF BAKERS,5001 COMMERCE DRIVE,-,BAKERSFIELD,CA,93309,Kern,(661) 323-5500,9,For profit,06/08/1990
053032,SAN JOAQUIN VALLEY REHABILITATION HOSP,7173 N SHARON AVENUE,-,FRESNO,CA,93720,Fresno,(559) 436-3600,9,For profit,02/15/1991
053034,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF TUSTIN,15120 KENSINGTON PARK DR,-,TUSTIN,CA,92782,Orange,(714) 832-9200,9,For profit,06/19/1991
053037,BALLARD REHABILITATION HOSPITAL,1760 WEST 16TH ST,-,SAN BERNARDINO,CA,92411,San Bernardino,(909) 473-1275,9,Non-profit,07/27/1993
053038,TOTALLY KIDS REHABILITATION HOSPITAL,1720 MOUNTAIN VIEW AVENUE,-,LOMA LINDA,CA,92354,San Bernardino,(909) 796-6915,9,For profit,04/24/2015
053039,"CALIFORNIA REHABILITATION INSTITUTE, LLC",2070 CENTURY PARK EAST,-,LOS ANGELES,CA,90067,Los Angeles,(424) 363-1000,9,For profit,09/20/2016
053040,ENCOMPASS HEALTH REHABILITATION HOSPITAL OF MODEST,1303 MABLE AVENUE,-,MODESTO,CA,95355,Stanislaus,(209) 857-3400,9,Non-profit,12/05/2016
053041,REHABILITATION HOSPITAL OF SOUTHERN CALIFORNIA,70077 RAMON RD,-,RANCHO MIRAGE,CA,92270,Riverside,(760) 620-5636,9,For profit,11/02/2018
