CMS Certification Number (CCN),Provider Name,Address Line 1,Address Line 2,City/Town,State,ZIP Code,County/Parish,Telephone Number,CMS Region,Ownership Type,Certification Date,Total Number of Beds
012006,INFIRMARY LTAC HOSPITAL,5 MOBILE INFIRMARY CIRCLE,-,MOBILE,AL,36607,Mobile,(251) 660-5611,4,Non-profit,10/01/1993,22
012008,SELECT SPECIALTY HOSPITAL - BIRMINGHAM,"2010 BROOKWOOD MEDICAL CENTER DRIVE, 3RD FLOOR",-,BIRMINGHAM,AL,35209,Jefferson,(205) 599-4595,4,For profit,09/01/2001,38
012009,"NOLAND HOSPITAL BIRMINGHAM II, LLC",810 ST VINCENTS DRIVE 6TH FLOOR,-,BIRMINGHAM,AL,35205,Jefferson,(205) 838-5100,4,For profit,03/27/2003,45
012010,"NOLAND HOSPITAL DOTHAN II, LLC","1108 ROSS CLARK CIRCLE, 4TH FLOOR",-,DOTHAN,AL,36302,Houston,(334) 699-4300,4,Non-profit,10/01/2004,35
012011,"NOLAND HOSPITAL ANNISTON II, LLC","400 EAST 10TH STREET, 4TH FLOOR",-,ANNISTON,AL,36202,Calhoun,(256) 741-6141,4,Non-profit,07/21/2004,38
012012,"NOLAND HOSPITAL TUSCALOOSA II, LLC","809 UNIVERSITY BOULEVARD EAST, 4TH FLOOR",-,TUSCALOOSA,AL,35401,Tuscaloosa,(205) 759-7241,4,Non-profit,04/01/2005,32
012014,NORTH ALABAMA SPECIALTY HOSPITAL,107 GOVERNORS DR SW,-,HUNTSVILLE,AL,35801,Madison,(337) 269-9566,4,For profit,05/01/2016,31
022001,ST ELIAS SPECIALTY HOSPITAL,4800 CORDOVA STREET,-,ANCHORAGE,AK,99503,Anchorage,(907) 561-3333,10,Non-profit,01/01/2008,59
032001,SELECT SPECIALTY HOSPITAL PHOENIX,"350 WEST THOMAS ROAD, 3RD FLOOR",-,PHOENIX,AZ,85013,Maricopa,(602) 406-6810,9,For profit,06/08/1993,48
032002,SELECT SPECIALTY HOSPITAL-TUCSON NORTHWEST,2025 W ORANGE GROVE ROAD,-,TUCSON,AZ,85704,Pima,(520) 584-4500,9,For profit,11/01/1994,51
032004,CORNERSTONE SPECIALTY HOSPITALS TUCSON,7220 EAST ROSEWOOD STREET,-,TUCSON,AZ,85710,Pima,(520) 546-4595,9,For profit,07/01/1998,34
032005,SELECT SPECIALTY HOSPITAL ARIZONA,"1111 EAST MCDOWELL RD, 11TH FLOOR",-,PHOENIX,AZ,85006,Maricopa,(717) 972-1100,9,For profit,06/01/2000,62
032006,PHOENIX SPECIALTY HOSPITAL,433 EAST 6TH STREET,-,MESA,AZ,85203,Maricopa,(480) 427-3020,9,For profit,06/01/2005,48
042004,ARKANSAS EXTENDED CARE HOSPITAL HOT SPRINGS,"300 WERNER STREET, 3RD FLOOR",-,HOT SPRINGS,AR,71913,Garland,(501) 609-4300,6,For profit,10/01/1999,27
042008,ARKANSAS EXTENDED CARE HOSPITAL-FT SMITH,"7301 ROGERS AVENUE, # 4",-,FORT SMITH,AR,72903,Sebastian,(479) 314-4900,6,For profit,05/29/2003,25
