ccn,hospital,system_id,system_label,source_note
050002,ST ROSE HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050006,PROVIDENCE ST JOSEPH HOSPITAL,providence,Providence,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050007,MILLS-PENINSULA MEDICAL CENTER,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050022,RIVERSIDE COMMUNITY HOSPITAL,hca_healthcare,HCA Healthcare,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050024,PARADISE VALLEY HOSPITAL,prime_healthcare,Prime Healthcare,CCN-verified ownership override — name-regex matching misses chains that rebrand hospitals locally (Sept 2026 review)
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,university_of_california,University of California,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050026,GROSSMONT HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050028,MAD RIVER COMMUNITY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050036,BAKERSFIELD MEMORIAL HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050038,SANTA CLARA VALLEY MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050043,ALTA BATES SUMMIT MEDICAL CENTER,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050054,SAN GORGONIO MEMORIAL HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050077,SCRIPPS MERCY HOSPITAL,scripps_health,Scripps Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050090,SONOMA VALLEY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050099,SAN ANTONIO REGIONAL HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050100,SHARP MEMORIAL HOSPITAL,sharp_healthcare,Sharp HealthCare,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050102,"DOCTORS HOSPITAL OF RIVERSIDE, LLC",independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050113,SAN MATEO MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050115,PALOMAR HEALTH DOWNTOWN CAMPUS,palomar_health,Palomar Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050121,ADVENTIST HEALTH HANFORD,adventist_health,Adventist Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050128,TRI-CITY MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050129,ST BERNARDINE MEDICAL CENTER,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050131,NOVATO COMMUNITY HOSPITAL,sutter_health,Sutter Health,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050136,PETALUMA VALLEY HOSPITAL,independent,Independent / other,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
050140,KAISER FOUNDATION HOSPITAL FONTANA,kaiser_permanente,Kaiser Permanente,Hospital name on CMS TEAM participant list matched to public system branding (Sept 2026 review)
